id,clave,name
__export__.cfd_mx_aduana_01,01,"ACAPULCO, ACAPULCO DE JUAREZ, GUERRERO."
__export__.cfd_mx_aduana_02,02,"AGUA PRIETA, AGUA PRIETA, SONORA."
__export__.cfd_mx_aduana_05,05,"SUBTENIENTE LOPEZ, SUBTENIENTE LOPEZ, QUINTANA ROO."
__export__.cfd_mx_aduana_06,06,"CIUDAD DEL CARMEN, CIUDAD DEL CARMEN, CAMPECHE."
__export__.cfd_mx_aduana_07,07,"CIUDAD JUAREZ, CIUDAD JUAREZ, CHIHUAHUA."
__export__.cfd_mx_aduana_08,08,"COATZACOALCOS, COATZACOALCOS, VERACRUZ."
__export__.cfd_mx_aduana_11,11,"ENSENADA, ENSENADA, BAJA CALIFORNIA."
__export__.cfd_mx_aduana_12,12,"GUAYMAS, GUAYMAS, SONORA."
__export__.cfd_mx_aduana_14,14,"LA PAZ, LA PAZ, BAJA CALIFORNIA SUR."
__export__.cfd_mx_aduana_16,16,"MANZANILLO, MANZANILLO, COLIMA."
__export__.cfd_mx_aduana_17,17,"MATAMOROS, MATAMOROS, TAMAULIPAS."
__export__.cfd_mx_aduana_18,18,"MAZATLAN, MAZATLAN, SINALOA."
__export__.cfd_mx_aduana_19,19,"MEXICALI, MEXICALI, BAJA CALIFORNIA."
__export__.cfd_mx_aduana_20,20,"MEXICO, DISTRITO FEDERAL."
__export__.cfd_mx_aduana_22,22,"NACO, NACO, SONORA."
__export__.cfd_mx_aduana_23,23,"NOGALES, NOGALES, SONORA."
__export__.cfd_mx_aduana_24,24,"NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS."
__export__.cfd_mx_aduana_25,25,"OJINAGA, OJINAGA, CHIHUAHUA."
__export__.cfd_mx_aduana_26,26,"PUERTO PALOMAS, PUERTO PALOMAS, CHIHUAHUA."
__export__.cfd_mx_aduana_27,27,"PIEDRAS NEGRAS, PIEDRAS NEGRAS, COAHUILA."
__export__.cfd_mx_aduana_28,28,"PROGRESO, PROGRESO, YUCATAN."
__export__.cfd_mx_aduana_30,30,"CIUDAD REYNOSA, CIUDAD REYNOSA, TAMAULIPAS."
__export__.cfd_mx_aduana_31,31,"SALINA CRUZ, SALINA CRUZ, OAXACA."
__export__.cfd_mx_aduana_33,33,"SAN LUIS RIO COLORADO, SAN LUIS RIO COLORADO, SONORA."
__export__.cfd_mx_aduana_34,34,"CIUDAD MIGUEL ALEMAN, CIUDAD MIGUEL ALEMAN, TAMAULIPAS."
__export__.cfd_mx_aduana_37,37,"CIUDAD HIDALGO, CIUDAD HIDALGO, CHIAPAS."
__export__.cfd_mx_aduana_38,38,"TAMPICO, TAMPICO, TAMAULIPAS."
__export__.cfd_mx_aduana_39,39,"TECATE, TECATE, BAJA CALIFORNIA."
__export__.cfd_mx_aduana_40,40,"TIJUANA, TIJUANA, BAJA CALIFORNIA."
__export__.cfd_mx_aduana_42,42,"TUXPAN, TUXPAN DE RODRIGUEZ CANO, VERACRUZ."
__export__.cfd_mx_aduana_43,43,"VERACRUZ, VERACRUZ, VERACRUZ."
__export__.cfd_mx_aduana_44,44,"CIUDAD ACUÑA, CIUDAD ACUÑA, COAHUILA."
__export__.cfd_mx_aduana_46,46,"TORREON, TORREON, COAHUILA."
__export__.cfd_mx_aduana_47,47,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO,"
__export__.cfd_mx_aduana_48,48,"GUADALAJARA, TLACOMULCO DE ZUÑIGA, JALISCO."
__export__.cfd_mx_aduana_50,50,"SONOYTA, SONOYTA, SONORA."
__export__.cfd_mx_aduana_51,51,"LAZARO CARDENAS, LAZARO CARDENAS, MICHOACAN."
__export__.cfd_mx_aduana_52,52,"MONTERREY, GENERAL MARIANO ESCOBEDO, NUEVO LEON."
__export__.cfd_mx_aduana_53,53,"CANCUN, CANCUN, QUINTANA ROO."
__export__.cfd_mx_aduana_64,64,"QUERÉTARO, EL MARQUÉS Y COLON, QUERÉTARO."
__export__.cfd_mx_aduana_65,65,"TOLUCA, TOLUCA, ESTADO DE MEXICO."
__export__.cfd_mx_aduana_67,67,"CHIHUAHUA, CHIHUAHUA, CHIHUAHUA."
__export__.cfd_mx_aduana_73,73,"AGUASCALIENTES, AGUASCALIENTES, AGUASCALIENTES."
__export__.cfd_mx_aduana_75,75,"PUEBLA, HEROICA PUEBLA DE ZARAGOZA, PUEBLA."
__export__.cfd_mx_aduana_80,80,"COLOMBIA, COLOMBIA, NUEVO LEON."
__export__.cfd_mx_aduana_81,81,"ALTAMIRA, ALTAMIRA, TAMAULIPAS."
__export__.cfd_mx_aduana_82,82,"CIUDAD CAMARGO, CIUDAD CAMARGO, TAMAULIPAS."
__export__.cfd_mx_aduana_83,83,"DOS BOCAS, PARAISO, TABASCO."
__export__.cfd_mx_aduana_84,84,"GUANAJUATO, SILAO, GUANAJUATO."
